Sample	Condition
GSM2335922	HCC
GSM2335923	HCC
GSM2335924	HCC
GSM2335925	HCC
GSM2335926	HCC
GSM2335927	HCC
GSM2335928	HCC
GSM2335929	HCC
GSM2335930	HCC
GSM2335931	HCC
GSM2335932	HCC
GSM2335933	HCC
GSM2335934	HCC
GSM2335935	HCC
GSM2335936	HCC
GSM2335937	HCC
GSM2335938	HCC
GSM2335939	HCC
GSM2335940	HCC
GSM2335941	HCC
GSM2335942	HCC
GSM2335943	HCC
GSM2335944	HCC
GSM2335945	HCC
GSM2335946	HCC
GSM2335947	HCC
GSM2335948	HCC
GSM2335949	HCC
GSM2335950	HCC
GSM2335951	HCC
GSM2335952	HCC
GSM2335953	HCC
GSM2335954	HCC
GSM2335955	HCC
GSM2335956	HCC
GSM2335957	HCC
GSM2335958	HCC
GSM2335959	HCC
GSM2335960	HCC
GSM2335961	HCC
GSM2335962	HCC
GSM2335963	HCC
GSM2335964	HCC
GSM2335965	HCC
GSM2335966	HCC
GSM2335967	HCC
GSM2335968	HCC
GSM2335969	HCC
GSM2335970	HCC
GSM2335971	HCC
GSM2335972	HCC
GSM2335973	HCC
GSM2335974	HCC
GSM2335975	HCC
GSM2335976	HCC
GSM2335977	HCC
GSM2335978	HCC
GSM2335979	HCC
GSM2335980	HCC
GSM2335981	HCC
GSM2335982	HCC
GSM2335983	HCC
GSM2335984	HCC
GSM2335985	HCC
GSM2335986	Normal_liver
GSM2335987	Normal_liver
GSM2335988	Normal_liver
GSM2335989	Normal_liver
GSM2335990	Normal_liver
GSM2335991	Normal_liver
GSM2335992	Normal_liver
GSM2335993	Normal_liver
GSM2335994	Normal_liver
GSM2335995	Normal_liver
GSM2335996	Normal_liver
GSM2335997	Normal_liver
GSM2335998	Normal_liver
GSM2335999	Normal_liver
GSM2336000	Normal_liver
GSM2336001	Normal_liver
GSM2336002	Normal_liver
GSM2336003	Normal_liver
GSM2336004	Normal_liver
GSM2336005	Normal_liver
GSM2336006	Normal_liver
GSM2336007	Normal_liver
GSM2336008	Normal_liver
GSM2336009	Normal_liver
GSM2336010	Normal_liver
GSM2336011	Normal_liver
GSM2336012	Normal_liver
GSM2336013	Normal_liver
GSM2336014	Normal_liver
GSM2336015	Normal_liver
